[22:39:11] - C:\Developpement\Github\Universal-XML-Scraper2\Universal XML Scraper V2.au3 (In Progress)
[22:39:11] - WIN_10(X64) - 040C
[22:39:11] - > Dev version
[22:39:11] - Starting files installation
[22:39:11] - > Ending files installation
[22:39:11] - > Verbose LVL : 3
[22:39:11] - > Path to ini : C:\Developpement\Github\Universal-XML-Scraper2\UXS-config.ini
[22:39:11] - > Path to log : C:\Developpement\Github\Universal-XML-Scraper2\log.txt
[22:39:11] - > Path to language : C:\Developpement\Github\Universal-XML-Scraper2\LanguageFiles
[22:39:11] - Language Selected : 040c
[22:39:11] - > Update Checking
[22:39:12] - > File Downloaded : C:\Developpement\Github\Universal-XML-Scraper2\changelog.txt
[22:39:12] - > -In 1 try and 1.03s
[22:39:12] - Local : In Progress - Github : 1.5.0.11
[22:39:12] - > _XML_GetNodeAttributeValue (Profil) = ScreenScraper(MIX)-Recalbox v4
[22:39:12] - > _XML_GetNodeAttributeValue (Profil) = ScreenScraper-Recalbox v0
[22:39:12] - > _XML_GetNodeAttributeValue (Profil) = ScreenScraper-Recalbox v4
[22:39:12] - Profil selected : C:\Developpement\Github\Universal-XML-Scraper2\ProfilsFiles\Screenscraper-RecalboxV4.xml
[22:39:12] - --------------------------------------------------------------------------------
[22:39:12] - http://www.screenscraper.fr/api/systemesListe.php?devid=Screech&devpassword=Screech201601281533y&softname=UniversalXMLScraper(TestDev)&output=XML
[22:39:12] - --------------------------------------------------------------------------------
[22:39:19] - > File Downloaded : C:\Developpement\Github\Universal-XML-Scraper2\Ressources\systemlist.xml
[22:39:19] - > -In 1 try and 6.95s
[22:39:19] - > systemlist.xml Opened
[22:39:19] - > GUI Constructed
[22:39:19] - > _XML_GetValue (Profil/AutoConf/Source_RootPath) = \\SYNO-SCREECH\Emulation\roms
[22:39:19] - > _XML_GetValue (Profil/AutoConf/Target_XMLName) = gamelist.xml
[22:39:19] - > _XML_GetValue (Profil/AutoConf/Target_RomPath) = ./
[22:39:19] - > _XML_GetValue (Profil/AutoConf/Source_ImagePath) = downloaded_images
[22:39:19] - > _XML_GetValue (Profil/AutoConf/Target_ImagePath) = ./downloaded_images/
[22:39:19] - > _XML_GetValue (Profil/General/Source_Image) = Screenscraper.jpg
[22:39:19] - > _XML_GetValue (Profil/General/Target_Image) = RecalboxV4.jpg
[22:39:19] - > SSH Enable
[22:39:19] - > _XML_GetValue (Profil/Plink/Command) = 4 Elements
[22:39:19] - > GUI Refresh
[22:39:26] - > _XML_GetNodeAttributeValue (Profil) = ScreenScraper(MIX)-Recalbox v4
[22:39:26] - > _XML_GetNodeAttributeValue (Profil) = ScreenScraper-Recalbox v0
[22:39:26] - > _XML_GetNodeAttributeValue (Profil) = ScreenScraper-Recalbox v4
[22:39:29] - > Value selected : C:\Developpement\Github\Universal-XML-Scraper2\ProfilsFiles\Screenscraper(MIX)-RecalboxV4.xml
[22:39:29] - Profil selected : C:\Developpement\Github\Universal-XML-Scraper2\ProfilsFiles\Screenscraper(MIX)-RecalboxV4.xml
[22:39:29] - > _XML_GetValue (Profil/AutoConf/Source_RootPath) = \\SYNO-SCREECH\Emulation\roms
[22:39:29] - > _XML_GetValue (Profil/AutoConf/Target_XMLName) = gamelist.xml
[22:39:29] - > _XML_GetValue (Profil/AutoConf/Target_RomPath) = ./
[22:39:29] - > _XML_GetValue (Profil/AutoConf/Source_ImagePath) = downloaded_images
[22:39:29] - > _XML_GetValue (Profil/AutoConf/Target_ImagePath) = ./downloaded_images/
[22:39:29] - > _XML_GetValue (Profil/General/Source_Image) = Screenscraper (MIX).jpg
[22:39:29] - > _XML_GetValue (Profil/General/Target_Image) = RecalboxV4.jpg
[22:39:29] - > SSH Enable
[22:39:29] - > _XML_GetValue (Profil/Plink/Command) = 4 Elements
[22:39:29] - > GUI Refresh
[22:39:32] - > $vTarget_XMLName = \\SYNO-SCREECH\Emulation\roms\sega32x\gamelist.xml
[22:39:32] - > $vSource_RomPath = \\SYNO-SCREECH\Emulation\roms\sega32x
[22:39:32] - > $vTarget_RomPath = ./
[22:39:32] - > $vSource_ImagePath = \\SYNO-SCREECH\Emulation\roms\sega32x\downloaded_images
[22:39:32] - > $vTarget_ImagePath = ./downloaded_images/
[22:39:32] - > $vScrape_Mode = 0
[22:39:32] - > $MissingRom_Mode = 0
[22:39:32] - > $CountryPic_Mode = 0
[22:39:32] - > GUI Desactivated (Scrape in progress)
[22:39:32] - > vScrape_Mode = 0 And \\SYNO-SCREECH\Emulation\roms\sega32x\gamelist.xml = 30432 ---> _XML_Make
[22:39:32] - > _XML_GetValue (Profil/Root/Target_Value) = gameList
[22:39:32] - > _XML_GetValue (Data/systeme/noms/*) = 138 Elements
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Daphne"]/id) = 49
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "CoreGrafX"]/id) = 50
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "CoreGrafX II"]/id) = 51
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Game & Watch"]/id) = 52
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Atomiswave"]/id) = 53
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Model 2"]/id) = 54
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Model 3"]/id) = 55
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Naomi"]/id) = 56
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Playstation"]/id) = 57
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Playstation 2"]/id) = 58
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "PSP"]/id) = 61
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "PS Vita"]/id) = 62
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Android"]/id) = 63
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Amiga"]/id) = 64
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "CPC"]/id) = 65
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Commodore 64"]/id) = 66
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Super Cassette Vision"]/id) = 67
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Neo-Geo MVS"]/id) = 68
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Sega ST-V"]/id) = 69
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Neo-Geo CD"]/id) = 70
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Fightcade"]/id) = 71
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "PC-FX"]/id) = 72
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Vic-20"]/id) = 73
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "PV-1000"]/id) = 74
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Mame"]/id) = 75
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "ZX Spectrum"]/id) = 76
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "ZX81"]/id) = 77
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Adventure Vision"]/id) = 78
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Sharp X68000"]/id) = 79
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Channel F"]/id) = 80
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Action Max"]/id) = 81
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Neo-Geo Pocket Color"]/id) = 82
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Aamber Pegasus"]/id) = 83
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Archimedes"]/id) = 84
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Electron"]/id) = 85
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Apple II"]/id) = 86
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "GX4000"]/id) = 87
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Camputers Lynx"]/id) = 88
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Adam"]/id) = 89
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Mega Duck"]/id) = 90
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Cougar Boy"]/id) = 90
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Dragon 32/64"]/id) = 91
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "EG2000 Colour Genie"]/id) = 92
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "BK"]/id) = 93
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Arcadia 2001"]/id) = 94
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Game Pocket Computer"]/id) = 95
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "EXL 100"]/id) = 96
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "FM-7"]/id) = 97
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Loopy"]/id) = 98
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Plus/4"]/id) = 99
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Super A'can"]/id) = 100
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "GP32"]/id) = 101
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Vectrex"]/id) = 102
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Game Master"]/id) = 103
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Videopac G7000"]/id) = 104
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Magnavox Odyssey²"]/id) = 104
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "PC Engine SuperGrafx"]/id) = 105
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Family Computer Disk System"]/id) = 106
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Famiri Konpyuta Disuku Shisutemu"]/id) = 106
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Satellaview"]/id) = 107
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Sufami Turbo"]/id) = 108
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "SG-1000"]/id) = 109
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Nintendo Power"]/id) = 110
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Amiga (AGA)"]/id) = 111
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Type X"]/id) = 112
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "MSX"]/id) = 113
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "PC Engine CD-Rom"]/id) = 114
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Intellivision"]/id) = 115
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "MSX2"]/id) = 116
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "MSX2+"]/id) = 117
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "MSX R Turbo"]/id) = 118
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "GBA e-Reader"]/id) = 119
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "V.Smile"]/id) = 120
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Game.com"]/id) = 121
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Nintendo 64DD"]/id) = 122
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "ScummVM"]/id) = 123
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Mikrosha"]/id) = 124
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Pecom 64"]/id) = 125
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Jupiter Ace"]/id) = 126
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Ace4000"]/id) = 126
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Super Game Boy"]/id) = 127
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Super Game Boy 2"]/id) = 128
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Amiga CDTV"]/id) = 129
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Amiga CD32"]/id) = 130
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Oric 1 / Atmos"]/id) = 131
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "CD-i"]/id) = 133
[22:39:32] - > _XML_GetValue (Data/systeme[noms/* = "Amiga CD"]/id) = 134
[22:39:32] - --------------------------------------------------------------------------------
[22:39:32] - Search sega32x in $aSystemListTXT = 36
[22:39:32] - --------------------------------------------------------------------------------
[22:39:32] - --------------------------------------------------------------------------------
[22:39:32] - Search Megadrive 32X in $aSystemListXML = 76
[22:39:32] - --------------------------------------------------------------------------------
[22:39:32] - System detected : Megadrive 32X(19)
[22:39:32] - > Listing ROM (*.zip||downloaded_images)
[22:39:32] - 33 Rom(s) found
[22:39:32] - > _XML_GetValue (Profil/Element[@Type='RomPath']/Target_Value) = gameList/game/path
[22:39:32] - /!\ _XML_GetValue ERROR (gameList/game/path)
[22:39:32] - --------------------------------------------------------------------------------
[22:39:32] - _XML_GetValue @error:
@error description:
$XML_ERR_OK=0
All is ok.

@extended description:
$XML_EXT_DEFAULT=0
Default - Do not return any additional information

[22:39:32] - --------------------------------------------------------------------------------
[22:39:32] - > After Burner Complete (Europe) To Scrape ($vScrape_Mode=0)
[22:39:32] - Rom Info (After Burner Complete (Europe).zip) Hash in 0.03s
[22:39:32] - > Size : 1066717
[22:39:32] - > CRC32 : 6511CBC2
[22:39:32] - > MD5 : 6065A6F3F849392FBA2398DE1EABA23A
[22:39:32] - > SHA1 : 2A97F8BFC96C6CE1C4FBBF95BE51D90B46FB12AE
[22:39:32] - --------------------------------------------------------------------------------
[22:39:32] - http://www.screenscraper.fr/api/jeuInfos.php?devid=Screech&devpassword=Screech201601281533y&softname=UniversalXMLScraper(TestDev)&output=xml&crc=6511CBC2&md5=6065A6F3F849392FBA2398DE1EABA23A&sha1=1066717&systemeid=19&romtype=rom&romnom=After Burner Complete (Europe)&romtaille=1066717
[22:39:32] - --------------------------------------------------------------------------------
[22:39:32] - > File Downloaded : C:\Developpement\Github\Universal-XML-Scraper2\TEMP\After Burner Complete (Europe).xml
[22:39:32] - > -In 1 try and 0.26s
[22:39:32] - > _XML_GetValue (Profil/Game/Target_Value) = gameList/game
[22:39:32] - > Write Value : game = 
[22:39:32] - > _XML_GetValue (/Profil/Element[1]/Target_Type) = XML_Attribute
[22:39:32] - > _XML_GetValue (/Profil/Element[1]/Source_Type) = XML_Value
[22:39:32] - > _XML_GetValue (/Profil/Element[1]/Source_Value) = Data/jeu/id
[22:39:32] - > _XML_GetValue (Data/jeu/id) = 12677
[22:39:32] - > _XML_GetValue (/Profil/Element[1]/Target_Attribute_Name) = id
[22:39:32] - > _XML_GetValue (/Profil/Element[1]/Target_Value) = gameList/game
[22:39:32] - > _XML_GetValue (/Profil/Element[2]/Target_Type) = XML_Attribute
[22:39:32] - > _XML_GetValue (/Profil/Element[2]/Source_Type) = Fixe_Value
[22:39:32] - > _XML_GetValue (/Profil/Element[2]/Source_Value) = ScreenScraper
[22:39:32] - > _XML_GetValue (/Profil/Element[2]/Target_Attribute_Name) = source
[22:39:32] - > _XML_GetValue (/Profil/Element[2]/Target_Value) = gameList/game
[22:39:32] - > _XML_GetValue (/Profil/Element[3]/Target_Type) = XML_Value
[22:39:32] - > _XML_GetValue (/Profil/Element[3]/Source_Type) = Variable_Value
[22:39:32] - > _XML_GetValue (/Profil/Element[3]/Source_Value) = %XML_Rom_Path%
[22:39:32] - > _XML_GetValue (/Profil/Element[3]/Target_Value) = gameList/game/path
[22:39:32] - > Write Value : path = ./After Burner Complete (Europe).zip
[22:39:32] - > _XML_GetValue (/Profil/Element[4]/Target_Type) = XML_Value
[22:39:32] - > _XML_GetValue (/Profil/Element[4]/Source_Type) = Fixe_Value
[22:39:32] - > _XML_GetValue (/Profil/Element[4]/Source_Value) = 
[22:39:32] - > _XML_GetValue (/Profil/Element[4]/Target_Value) = gameList/game/emulator
[22:39:32] - > Write Value : emulator = 
[22:39:32] - > _XML_GetValue (/Profil/Element[5]/Target_Type) = XML_Value
[22:39:32] - > _XML_GetValue (/Profil/Element[5]/Source_Type) = Fixe_Value
[22:39:32] - > _XML_GetValue (/Profil/Element[5]/Source_Value) = 
[22:39:32] - > _XML_GetValue (/Profil/Element[5]/Target_Value) = gameList/game/core
[22:39:32] - > Write Value : core = 
[22:39:32] - > _XML_GetValue (/Profil/Element[6]/Target_Type) = XML_Value
[22:39:32] - > _XML_GetValue (/Profil/Element[6]/Source_Type) = XML_Value
[22:39:32] - > _XML_GetValue (/Profil/Element[6]/Source_Value) = Data/jeu/noms/nom_%COUNTRY%
[22:39:32] - > _XML_GetValue (/Profil/Country/Source_Value) = Data/jeu/region
[22:39:32] - > _XML_GetValue (Data/jeu/region) = Europe
[22:39:32] - > _XML_GetValue (Data/jeu/noms/nom_eu) = EMPTY
[22:39:32] - > _XML_GetValue (Data/jeu/noms/nom_fr) = EMPTY
[22:39:32] - > _XML_GetValue (Data/jeu/noms/nom_eu) = EMPTY
[22:39:32] - > _XML_GetValue (Data/jeu/noms/nom_us) = After Burner
[22:39:32] - > _XML_GetValue (/Profil/Element[6]/Target_Value) = gameList/game/name
[22:39:32] - > Write Value : name = After Burner
[22:39:32] - > _XML_GetValue (/Profil/Element[7]/Target_Type) = XML_Value
[22:39:32] - > _XML_GetValue (/Profil/Element[7]/Source_Type) = XML_Value
[22:39:32] - > _XML_GetValue (/Profil/Element[7]/Source_Value) = Data/jeu/synopsis/synopsis_%LANG%
[22:39:32] - > _XML_GetValue (Data/jeu/synopsis/synopsis_fr) = Directement issu des salles d'arcade, After Burner sur Megadrive 32X vous permet de vous installer dans le cockpit d'un F-14 Thunder Cat pour une série de missions en haute altitude. Ce shoot'em up vous donne accès à tout l'armement que l'on peut attendre d'un avion de combat dont les précieux missiles.
[22:39:32] - > _XML_GetValue (/Profil/Element[7]/Target_Value) = gameList/game/desc
